episode,reward,revenue,rooms_sold,occupancy_rate,epsilon,average_q
45,-1948.3651398990328,24000.0,5,0.1,0.8020760579717637,0.0
46,-2913.7682013695085,6000.0,2,0.04,0.798065677681905,-0.05840000000000001
47,-3578.9172765491094,3000.0,1,0.02,0.7940753492934954,-0.6023495786658409
48,-2459.6714872404755,20500.0,5,0.1,0.7901049725470279,0.0
49,-2038.9734949713595,52500.0,13,0.26,0.7861544476842928,0.0
50,-1397.4709446341503,34500.0,9,0.18,0.7822236754458713,-0.0196
51,-1851.4823177616731,26000.0,6,0.12,0.778312557068642,0.040460000000000024
52,-1955.7855325493983,25500.0,6,0.12,0.7744209942832988,0.0528
53,-1586.015549401185,30500.0,8,0.16,0.7705488893118823,0.0662
54,-2079.307790094188,17000.0,4,0.08,0.7666961448653229,0.02660000000000001
55,-2343.541127045347,6000.0,2,0.04,0.7628626641409962,0.0
56,-1976.2487469713546,19500.0,4,0.08,0.7590483508202912,0.0
57,-2350.505997925466,21500.0,6,0.12,0.7552531090661897,0.0
58,-2999.8902927664385,6500.0,2,0.04,0.7514768435208588,-0.2220447120428408
59,-1609.6077430810715,13000.0,3,0.06,0.7477194593032545,0.0
60,-2871.8503894589867,29500.0,9,0.18,0.7439808620067382,-0.08732786247689357
61,-1835.9424786916788,15500.0,4,0.08,0.7402609576967045,0.0
62,-670.4976771952747,58500.0,16,0.32,0.736559652908221,0.0
63,-1912.0941141492922,20000.0,6,0.12,0.7328768546436799,-0.024800000000000003
64,-2035.962032462219,9000.0,3,0.06,0.7292124703704616,0.0
65,-1965.8035894083093,18000.0,5,0.1,0.7255664080186093,-0.0784004
66,-1865.2460663158595,45500.0,11,0.22,0.7219385759785162,0.0
67,-1698.8154584386984,33500.0,8,0.16,0.7183288830986236,0.049800000000000004
68,-2723.379308370014,7500.0,2,0.04,0.7147372386831305,-0.06458398631369479
69,-1153.3746482766276,45500.0,13,0.26,0.7111635524897149,-0.02
70,-2183.199790930228,22500.0,7,0.14,0.7076077347272662,0.0416
71,-2168.4303918719493,6000.0,1,0.02,0.7040696960536299,0.08286460000000001
72,-961.1966487056366,36000.0,10,0.2,0.7005493475733617,0.0008000000000000001
73,-2393.972067058512,19000.0,5,0.1,0.697046600835495,0.09199960000000001
74,-2395.055980907723,6000.0,2,0.04,0.6935613678313175,-0.018000000000000002
75,-2092.907143434679,10000.0,3,0.06,0.6900935609921609,0.0
76,-2053.8770670711983,3000.0,1,0.02,0.6866430931872001,0.0
77,-1478.0578408137364,24500.0,7,0.14,0.6832098777212641,0.0
78,-1765.8000000000018,21000.0,7,0.14,0.6797938283326578,0.0
79,-1890.277248936814,29500.0,8,0.16,0.6763948591909945,0.0
80,-1671.771858082612,20000.0,6,0.12,0.6730128848950395,0.09843919999999999
81,-2164.9999999999977,3000.0,1,0.02,0.6696478204705644,0.0
82,-1585.8777068168547,27000.0,8,0.16,0.6662995813682115,0.0
83,-2220.3582571036977,3000.0,1,0.02,0.6629680834613705,0.0
84,-2434.2851050736735,6500.0,1,0.02,0.6596532430440636,0.0
85,-1051.901116629726,34500.0,8,0.16,0.6563549768288433,0.0008000000000000001
86,-2441.398538741566,10000.0,3,0.06,0.653073201944699,-0.0788
