episode,reward,revenue,rooms_sold,occupancy_rate,epsilon,average_q,loss
27,-2827.104078374474,13000.0,4,0.08,0.8734200960253871,-17.021932651698588,4714.725003051758
28,-2720.092300592045,0.0,0,0.0,0.8690529955452602,-15.361730379462243,5204.666659622192
29,-2285.0000000000014,27500.0,6,0.12,0.8647077305675338,-18.56246622860432,4357.273125
30,-2335.9839863136954,8500.0,2,0.04,0.8603841919146962,-12.68339650630951,4336.098563842774
31,-1534.0483476754798,51000.0,14,0.28,0.8560822709551227,-11.44784879028797,5270.502961425781
32,-2248.738345097686,9500.0,3,0.06,0.851801859600347,-7.207912261709571,5599.32121383667
33,-2668.0256143190713,11500.0,3,0.06,0.8475428503023453,-10.23159881591797,4250.778984069824
34,-2085.2760177652704,27500.0,5,0.1,0.8433051360508336,-12.607193679064512,4717.339498748779
35,-2177.7999999999993,13000.0,3,0.06,0.8390886103705794,-10.489540795087814,4757.006779937744
36,-1866.0351293185518,22000.0,5,0.1,0.8348931673187264,-6.9867403942346575,4448.234130401612
37,-2410.468516052195,25500.0,7,0.14,0.8307187014821328,-11.369132056236268,4569.263384857178
38,-1314.5290225609572,51500.0,13,0.26,0.8265651079747222,-6.081204643398523,4499.732380981445
39,-1852.2484384618203,33500.0,8,0.16,0.8224322824348486,-7.430959094762802,4542.067790985107
40,-2290.0,0.0,0,0.0,0.8183201210226743,-10.468306239843368,4920.1302252197265
41,-3465.2786194189407,3500.0,1,0.02,0.8142285204175609,-21.37287167072296,4420.440915374756
42,-2513.054214386328,21500.0,6,0.12,0.810157377815473,-10.562984330654144,5587.735
43,-3219.8224689171548,7000.0,2,0.04,0.8061065909263957,-17.025920110940934,5265.481007080078
44,-2668.8672612225405,6000.0,1,0.02,0.8020760579717637,-16.292667420208453,4981.72333770752
45,-1883.4089998481927,15500.0,3,0.06,0.798065677681905,-0.3629022669792175,4129.751627502442
46,-3283.069582537712,0.0,0,0.0,0.7940753492934954,-11.14431243956089,4341.747232971192
47,-3740.3131310753383,14000.0,4,0.08,0.7901049725470279,-14.315725123882293,3453.6186895751953
48,-2600.9450519216966,12000.0,3,0.06,0.7861544476842928,-10.307352406978607,4989.5396801757815
49,-1247.4809665072842,48000.0,11,0.22,0.7822236754458713,1.2505875289440156,3853.1376248168945
50,-1619.0894251803911,43000.0,10,0.2,0.778312557068642,-0.38864676654338837,4800.78500793457
51,-1810.291212846364,31500.0,6,0.12,0.7744209942832988,-3.5365756499767302,3948.987012939453
52,-2338.64475918926,31000.0,7,0.14,0.7705488893118823,-1.7208887147903442,3459.669524612427
53,-2122.14414915389,18000.0,5,0.1,0.7666961448653229,-2.44511518239975,3867.5909144592283
54,-2708.5105162990585,11500.0,2,0.04,0.7628626641409962,-8.887029039263725,3249.433992767334
55,-2172.8914993560184,11000.0,3,0.06,0.7590483508202912,3.459499055147171,4803.433779602051
56,-1808.0588722296334,22000.0,4,0.08,0.7552531090661897,3.3098628544807434,3806.4595008850097
57,-2700.3606276002615,20500.0,5,0.1,0.7514768435208588,-0.7073529887199402,3945.4912109375
58,-2221.9127266835694,8500.0,2,0.04,0.7477194593032545,-8.758926082253456,5096.816193847656
59,-1864.004952679361,13000.0,4,0.08,0.7439808620067382,4.984834938049317,3434.502661743164
60,-2129.0630937419805,35500.0,9,0.18,0.7402609576967045,-9.804859771728516,3667.212656326294
61,-2552.3134708244497,11500.0,3,0.06,0.736559652908221,-0.6518400478363037,2947.4875190734865
62,-1774.189287673068,40500.0,11,0.22,0.7328768546436799,-3.1575986337661743,3269.955153503418
63,-1996.0391689973435,19500.0,5,0.1,0.7292124703704616,-1.273526552915573,3382.5232135009765
64,-2014.523765735441,9000.0,3,0.06,0.7255664080186093,-7.466881805956364,3271.9539211273195
65,-2690.469917637287,21000.0,6,0.12,0.7219385759785162,-25.399220366477966,4457.161876525879
